"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT109","02AG_000_AmsHSX_AmsHSX-SPLIT109","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT39","A1_000_AmsHSX_AmsHSX-SPLIT39","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT37","C_000_AmsHSX_AmsHSX-SPLIT37","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT111","02AG_000_AmsHSX_AmsHSX-SPLIT111","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","02AG_000_AmsHSX_AmsHSX-SPLIT9","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT38","A1_000_AmsHSX_AmsHSX-SPLIT38","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","02AG_000_AmsHSX_AmsHSX-SPLIT12","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT30","A1_000_AmsHSX_AmsHSX-SPLIT30","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT29","C_000_AmsHSX_AmsHSX-SPLIT29","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","C_000_AmsHSX_AmsHSX-SPLIT6","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT86","C_000_AmsHSX_AmsHSX-SPLIT86","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT83","C_000_AmsHSX_AmsHSX-SPLIT83","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","06cpx_000_AmsHSX_AmsHSX-SPLIT13","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT2","G_000_AmsHSX_AmsHSX-SPLIT2","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT76","02AG_000_AmsHSX_AmsHSX-SPLIT76","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT53","C_000_AmsHSX_AmsHSX-SPLIT53","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT48","C_000_AmsHSX_AmsHSX-SPLIT48","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","G_000_AmsHSX_AmsHSX-SPLIT10","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT5","G_000_AmsHSX_AmsHSX-SPLIT5","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT88","02AG_000_AmsHSX_AmsHSX-SPLIT88","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT76","C_000_AmsHSX_AmsHSX-SPLIT76","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT43","A1_000_AmsHSX_AmsHSX-SPLIT43","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","D_000_AmsHSX_AmsHSX-SPLIT6","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT80","02AG_000_AmsHSX_AmsHSX-SPLIT80","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT58","C_000_AmsHSX_AmsHSX-SPLIT58","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT82","C_000_AmsHSX_AmsHSX-SPLIT82","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT32","C_000_AmsHSX_AmsHSX-SPLIT32","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","G_000_AmsHSX_AmsHSX-SPLIT4","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT74","C_000_AmsHSX_AmsHSX-SPLIT74","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT25","A1_000_AmsHSX_AmsHSX-SPLIT25","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT96","02AG_000_AmsHSX_AmsHSX-SPLIT96","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT43","02AG_000_AmsHSX_AmsHSX-SPLIT43","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT35","C_000_AmsHSX_AmsHSX-SPLIT35","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","02AG_000_AmsHSX_AmsHSX-SPLIT10","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","D_000_AmsHSX_AmsHSX-SPLIT16","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","G_000_AmsHSX_AmsHSX-SPLIT12","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT38","02AG_000_AmsHSX_AmsHSX-SPLIT38","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT66","02AG_000_AmsHSX_AmsHSX-SPLIT66","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT27","02AG_000_AmsHSX_AmsHSX-SPLIT27","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","02AG_000_AmsHSX_AmsHSX-SPLIT6","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT85","C_000_AmsHSX_AmsHSX-SPLIT85","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT59","02AG_000_AmsHSX_AmsHSX-SPLIT59","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT94","B_000_AmsHSX_AmsHSX-SPLIT94","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","G_000_AmsHSX_AmsHSX-SPLIT16","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT64","02AG_000_AmsHSX_AmsHSX-SPLIT64","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT68","C_000_AmsHSX_AmsHSX-SPLIT68","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT56","02AG_000_AmsHSX_AmsHSX-SPLIT56","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT105","B_000_AmsHSX_AmsHSX-SPLIT105","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT14","G_000_AmsHSX_AmsHSX-SPLIT14","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT108","02AG_000_AmsHSX_AmsHSX-SPLIT108","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT83","02AG_000_AmsHSX_AmsHSX-SPLIT83","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","D_000_AmsHSX_AmsHSX-SPLIT3","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","G_000_AmsHSX_AmsHSX-SPLIT6","G",NA,"pre-startd"
